@relation slashdot
%
% structure feature
@attribute Hybrid_Content_Stemmer_StopwordRemove_CosineSim real
@attribute Hybrid_Content_Stemmer_StopwordRemove_KLDiv real
%
% sns feature
@attribute directedunweighted_auth real
@attribute directedunweighted_cumIndeg real
@attribute directedunweighted_cumOudeg real
@attribute directedunweighted_hub real
@attribute DirectedUnweighted_NeighborSim_CosineSim real
@attribute directedunweighted_pagerank real
@attribute DirectedUnweighted_Reciprocity real
@attribute DirectedWeighted_auth real
@attribute DirectedWeighted_AvgInDeg real
@attribute DirectedWeighted_AvgOuDeg real
@attribute DirectedWeighted_CumInDeg real
@attribute DirectedWeighted_CumOuDeg real
@attribute DirectedWeighted_hub real
@attribute DirectedWeighted_NeighborSim_CosineSim real
@attribute DirectedWeighted_NormFrequency real
@attribute DirectedWeighted_PageRank real
@attribute DirectedWeighted_Reciprocity real
@attribute UndirectedUnweighted_Authority real
@attribute UndirectedUnweighted_AvgInDeg real
@attribute UndirectedUnweighted_AvgOuDeg real
@attribute UndirectedUnweighted_CumInDeg real
@attribute UndirectedUnweighted_CumOuDeg real
@attribute UndirectedUnweighted_Hub real
@attribute UndirectedUnweighted_NeighborSim_CosineSim real
@attribute UndirectedUnweighted_NormFrequency real
@attribute UndirectedUnweighted_PageRank real
@attribute UndirectedWeighted_Authority real
@attribute UndirectedWeighted_AvgInDeg real
@attribute UndirectedWeighted_AvgOuDeg real
@attribute UndirectedWeighted_CumInDeg real
@attribute UndirectedWeighted_CumOuDeg real
@attribute UndirectedWeighted_Hub real
@attribute UndirectedWeighted_NeighborSim_CosineSim real
@attribute UndirectedWeighted_NormFrequency real
@attribute UndirectedWeighted_PageRank real
%
% text feature
@attribute content_charactercomplexity_noremove real
@attribute content_charactercomplexity_stopwordremove real
@attribute content_length_stopwordremove real
@attribute word_avelength_stopwordremove real
@attribute word_maxlength_stopwordremove real
%
% mean score of author
% attribute mean_score real
%
% credit of author
@attribute credit4author {yes,no}
%
@data
0.110901743841784,0.831687083087803,0.0,0.0,1.0,6.71572413303694E-5,0.0,2.33379490610365E-6,1.0,0.0,0.0,1.0,0.0,1.0,6.71572413303694E-5,0.0,1.0,2.33379490610365E-6,1.0,3.84603166016066E-5,0.0,1.0,1.0,1.0,3.84603166016066E-5,0.0,1.0,3.04533827386518E-6,3.84603166016066E-5,1.0,1.0,1.0,1.0,3.84603166016066E-5,0.0,1.0,2.90034102662815E-6,-2.82158427218243,-2.84125717142601,16.0,6.0,9.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.66807870221748,-2.07944154167984,2.0,4.0,4.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.26801584266764,-2.26853509201638,4.0,5.25,6.0,no
0.0,0.0,0.0,0.0,1.0,1.09884386377176E-4,0.0,2.33379490610365E-6,1.0,0.0,0.0,1.0,0.0,1.0,1.09884386377176E-4,0.0,1.0,2.33379490610365E-6,1.0,9.92230210510288E-5,0.0,1.0,1.0,1.0,9.92230210510288E-5,0.0,1.0,2.9914389212775E-6,9.92230210510288E-5,1.0,1.0,1.0,1.0,9.92230210510288E-5,0.0,1.0,2.84413548949574E-6,-2.8535470399472764,-2.8465454888980837,12.666666666666666,6.029803529803534,16.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.63079688540502,-2.59174517969149,5.0,7.2,15.0,no
0.0,0.0,0.0,0.0,1.0,9.36142578238689E-6,0.0,2.33379490610365E-6,1.0,0.0,0.0,1.0,0.0,1.0,9.36142578238689E-6,0.0,1.0,2.33379490610365E-6,1.0,6.28571959029287E-6,0.0,1.0,1.0,1.0,6.28571959029287E-6,0.0,1.0,3.50783437530678E-6,6.28571959029287E-6,1.0,1.0,1.0,1.0,6.28571959029287E-6,0.0,1.0,3.35329400343047E-6,-2.5811993420844104,-2.5236842441202754,9.5,4.955555555555555,8.5,no
0.0,0.0,0.0,0.0,1.0,7.55722789346866E-4,0.0326164036526721,2.33379490610365E-6,1.0,0.0,0.0,1.0,0.0,1.0,7.55722789346866E-4,0.0481125224324688,1.0,2.33379490610365E-6,1.0,4.72491139649731E-4,0.0,1.0,1.0,1.0,4.7249113964973E-4,0.0258803470681335,1.0,3.01395268402802E-6,4.72491139649731E-4,1.0,1.0,1.0,1.0,4.7249113964973E-4,0.0530324906961029,1.0,2.84559879024947E-6,-2.83751154760342,-2.71296217305289,3.0,7.33333333333333,13.0,no
0.117444043902941,0.550083103386451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.77730290317291,-2.69125118747129,15.0,6.13333333333333,10.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.33319671428625,-2.20478541691352,2.0,6.5,8.0,no
0.1388930150357014,0.07169443695871476,0.0,0.0,2.0,6.42551893765861E-5,0.0,2.33379490610365E-6,1.0,0.0,0.0,1.0,0.0,2.0,6.42551893765861E-5,0.0,0.5,2.33379490610365E-6,1.0,3.11221689443529E-5,0.0,1.0,2.0,2.0,3.11221689443528E-5,0.0,0.5,3.8854856127003E-6,3.11221689443529E-5,1.0,1.0,2.0,2.0,3.11221689443528E-5,0.0,0.5,3.56854454474479E-6,-2.837724251402301,-2.840113875306812,39.5,6.433953373015875,11.875,no
0.1167748416242285,0.377507297368848,0.0,0.0,1.0,1.83557801947638E-7,0.0,2.33379490610365E-6,1.0,0.0,0.0,1.0,0.0,1.0,1.83557801947638E-7,0.0,1.0,2.33379490610365E-6,1.0,8.22069928501087E-8,0.0,1.0,1.0,1.0,8.22069928501087E-8,0.0,1.0,4.5601082711207E-6,8.22069928501087E-8,1.0,1.0,1.0,1.0,8.22069928501087E-8,0.0,1.0,4.41864713050554E-6,-2.81652674494953,-2.691195112246035,15.5,5.266304347826085,11.0,no
